date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-20,0.0,1.0,1.0,2.0,0.0,5.0,8.0,9.0,3.0,3.0,2.0,2.0,8.0,28.0,27.0,25.0,26.0,26.0,29.0,29.0,29.0,29.0,29.0,28.0,30.0,0.0
2024-05-19,0.0,1.0,1.0,2.0,2.0,5.0,13.0,14.0,8.0,8.0,17.0,17.0,18.0,19.0,15.0,14.0,14.0,14.0,16.0,17.0,19.0,20.0,22.0,24.0,23.0,0.0
2024-05-18,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,6.0,7.0,7.0,10.0,9.0,8.0,11.0,12.0,10.0,12.0,12.0,11.0,12.0,12.0,14.0,0.0
2024-05-17,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,5.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,7.0,7.0,6.0,6.0,12.0,24.0,25.0,24.0,25.0,25.0,25.0,26.0,28.0,27.0,26.0,27.0,28.0,27.0,27.0,26.0,26.0,26.0,25.0,29.0,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,1.0,35.0,39.0,38.0,37.0,41.0,37.0,36.0,36.0,36.0,38.0,40.0,39.0,40.0,40.0,39.0,44.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,41.0,0.0,44.0,44.0,44.0,43.0,44.0,42.0,43.0,43.0,44.0,44.0,45.0,51.0,50.0,55.0,54.0,54.0,54.0,54.0,53.0,59.0,58.0,62.0,0.0
2024-05-11,0.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,0.0
2024-05-10,0.0,10.0,0.0,13.0,13.0,11.0,15.0,16.0,20.0,20.0,22.0,23.0,25.0,25.0,25.0,24.0,24.0,25.0,24.0,26.0,25.0,26.0,26.0,25.0,27.0,0.0
2024-05-09,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,7.0,8.0,8.0,7.0,7.0,6.0,5.0,8.0,8.0,7.0,0.0
2024-05-08,0.0,1.0,0.0,2.0,2.0,4.0,16.0,17.0,12.0,17.0,27.0,36.0,35.0,36.0,39.0,38.0,42.0,42.0,41.0,41.0,41.0,43.0,46.0,46.0,48.0,0.0
2024-05-07,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,4.0,8.0,7.0,7.0,8.0,9.0,12.0,10.0,12.0,15.0,15.0,14.0,0.0
2024-05-06,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,5.0,7.0,15.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,0.0,6.0,10.0,0.0
2024-05-05,0.0,1.0,1.0,6.0,4.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,5.0,7.0,9.0,10.0,10.0,8.0,8.0,7.0,7.0,11.0,11.0,13.0,0.0
2024-05-04,0.0,1.0,1.0,2.0,1.0,2.0,52.0,53.0,49.0,49.0,50.0,49.0,57.0,62.0,62.0,60.0,61.0,61.0,60.0,60.0,60.0,60.0,63.0,63.0,64.0,0.0
2024-05-03,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,7.0,8.0,9.0,10.0,12.0,12.0,13.0,13.0,17.0,18.0,17.0,16.0,20.0,20.0,17.0,0.0
2024-05-02,0.0,1.0,1.0,2.0,0.0,8.0,3.0,5.0,25.0,24.0,33.0,33.0,39.0,36.0,34.0,34.0,35.0,35.0,34.0,37.0,39.0,40.0,43.0,43.0,43.0,0.0
2024-05-01,0.0,2.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,19.0,19.0,46.0,44.0,55.0,58.0,58.0,58.0,57.0,56.0,55.0,59.0,61.0,60.0,60.0,0.0
2024-04-30,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,10.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,5.0,5.0,5.0,3.0,4.0,9.0,9.0,5.0,5.0,5.0,6.0,5.0,13.0,14.0,12.0,13.0,14.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,0.0
2024-04-28,0.0,4.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,4.0,3.0,6.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,6.0,6.0,5.0,5.0,0.0
2024-04-27,0.0,3.0,0.0,9.0,8.0,10.0,10.0,11.0,7.0,6.0,7.0,7.0,8.0,9.0,6.0,5.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,0.0
2024-04-26,0.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,8.0,8.0,6.0,0.0
2024-04-25,0.0,1.0,0.0,22.0,0.0,28.0,31.0,33.0,30.0,30.0,33.0,33.0,32.0,33.0,34.0,33.0,32.0,32.0,34.0,33.0,33.0,32.0,35.0,35.0,34.0,0.0
2024-04-24,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,12.0,13.0,16.0,17.0,12.0,11.0,13.0,13.0,15.0,14.0,13.0,13.0,15.0,15.0,15.0,0.0
2024-04-23,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,8.0,8.0,7.0,0.0
2024-04-22,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,7.0,7.0,11.0,12.0,9.0,9.0,0.0,0.0,71.0,71.0,70.0,69.0,74.0,73.0,73.0,0.0
2024-04-21,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,39.0,41.0,39.0,40.0,40.0,44.0,44.0,43.0,44.0,47.0,48.0,48.0,0.0
2024-04-20,0.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0
2024-04-19,0.0,1.0,0.0,1.0,1.0,8.0,6.0,7.0,5.0,5.0,20.0,20.0,23.0,27.0,23.0,22.0,22.0,23.0,27.0,28.0,29.0,29.0,31.0,31.0,35.0,0.0
2024-04-18,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,7.0,7.0,6.0,0.0
2024-04-17,0.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,7.0,6.0,10.0,0.0
2024-04-16,0.0,13.0,12.0,10.0,10.0,8.0,4.0,5.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,9.0,0.0
2024-04-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,13.0,13.0,12.0,0.0
2024-04-14,0.0,0.0,0.0,1.0,0.0,3.0,5.0,6.0,26.0,27.0,31.0,31.0,38.0,40.0,61.0,61.0,63.0,63.0,64.0,64.0,62.0,63.0,67.0,66.0,67.0,0.0
2024-04-13,0.0,19.0,17.0,15.0,13.0,13.0,9.0,10.0,5.0,8.0,13.0,13.0,13.0,14.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,14.0,13.0,13.0,0.0
2024-04-12,0.0,1.0,1.0,1.0,0.0,3.0,7.0,8.0,5.0,6.0,5.0,5.0,6.0,8.0,6.0,5.0,5.0,5.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,0.0
2024-04-11,0.0,1.0,0.0,16.0,15.0,16.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,14.0,13.0,17.0,19.0,20.0,20.0,20.0,27.0,27.0,0.0
2024-04-10,0.0,3.0,0.0,1.0,0.0,4.0,2.0,6.0,14.0,14.0,26.0,26.0,32.0,34.0,33.0,32.0,32.0,32.0,30.0,30.0,31.0,34.0,34.0,34.0,33.0,0.0
2024-04-09,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0,55.0,57.0,59.0,60.0,59.0,60.0,60.0,60.0,59.0,60.0,59.0,59.0,60.0,58.0,58.0,0.0
2024-04-08,0.0,0.0,0.0,5.0,3.0,4.0,1.0,1.0,0.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,0.0,1.0,0.0,1.0,0.0,2.0,11.0,12.0,6.0,6.0,9.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,6.0,7.0,6.0,11.0,8.0,7.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,1.0,0.0,0.0,13.0,13.0,7.0,8.0,10.0,11.0,16.0,18.0,13.0,12.0,14.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,12.0,15.0,11.0,10.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,13.0,15.0,14.0,15.0,18.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,6.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,63.0,64.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
