date,Köln_Hbf.in,Köln_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-04-24,-1.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,-1.0
2024-04-23,-1.0,5.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,-1.0
2024-04-22,-1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,8.0,8.0,0.0,0.0,1.0,-1.0
2024-04-21,-1.0,7.0,7.0,8.0,8.0,15.0,14.0,10.0,10.0,10.0,11.0,11.0,1.0,1.0,5.0,-1.0
2024-04-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,3.0,5.0,6.0,5.0,7.0,6.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,-1.0
2024-04-18,-1.0,7.0,14.0,15.0,14.0,15.0,14.0,10.0,12.0,13.0,13.0,13.0,0.0,0.0,3.0,-1.0
2024-04-17,-1.0,7.0,2.0,4.0,5.0,6.0,4.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,-1.0
2024-04-16,-1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,-1.0
2024-04-14,-1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,5.0,-1.0
2024-04-13,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,15.0,14.0,14.0,14.0,16.0,15.0,11.0,12.0,12.0,10.0,10.0,0.0,0.0,1.0,-1.0
2024-04-11,-1.0,1.0,3.0,3.0,5.0,7.0,5.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,-1.0
2024-04-10,-1.0,1.0,19.0,20.0,27.0,27.0,26.0,21.0,25.0,25.0,24.0,25.0,11.0,11.0,13.0,-1.0
2024-04-09,-1.0,8.0,9.0,9.0,9.0,11.0,10.0,6.0,7.0,11.0,10.0,12.0,2.0,2.0,1.0,-1.0
2024-04-08,-1.0,10.0,6.0,6.0,6.0,7.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-04-07,-1.0,34.0,42.0,43.0,42.0,43.0,42.0,39.0,38.0,40.0,40.0,40.0,30.0,30.0,30.0,-1.0
2024-04-05,-1.0,12.0,14.0,15.0,15.0,15.0,14.0,9.0,9.0,9.0,12.0,13.0,2.0,2.0,1.0,-1.0
2024-04-04,-1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,-1.0
2024-04-03,-1.0,7.0,24.0,25.0,25.0,25.0,24.0,20.0,22.0,22.0,22.0,21.0,11.0,11.0,16.0,-1.0
2024-04-02,-1.0,8.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0
2024-04-01,-1.0,7.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,0.0,0.0,8.0,-1.0
